id,query
1,I'm looking for a sweet vegetarian dinner recipe that takes about 30 minutes.
2,Can you suggest a quick vegetarian dinner? Something sweet and ready in half an hour.
3,"Dinner, vegetarian, sweet, 30 min."
4,What's a good sweet vegetarian dinner I can make in under 30 minutes?
5,I need a 30-minute vegetarian dinner. Make it sweet.
8,I need a vegetarian lunch recipe that I can make in 30 minutes.
9,"Give me ideas for a quick vegetarian lunch, ready in half an hour."
10,What's a good vegetarian lunch that takes 30 minutes or less?
11,"Looking for a fast, vegetarian lunch recipe, 30-minute prep time."
12,Show me some 30-minute vegetarian lunch options.
15,I'm looking for a meaty dinner recipe that takes less than an hour to make.
16,"Can you suggest a quick dinner idea that's hearty and meat-based, ready in under 60 minutes?"
17,Give me a meaty dinner that's under an hour.
18,"I need a fast dinner, something meaty, that can be done in less than 60 minutes."
19,"What's a good speedy, meaty dinner recipe?"
22,I need a quick and gluten-free snack recipe.
23,Give me some ideas for fast gluten-free snacks.
24,Quick gluten-free snack.
25,"Snack, gluten-free, quick."
26,What are some easy gluten-free snacks to make?
29,I'm looking for a dairy-free dessert that I can make in under 45 minutes.
30,Give me some dessert ideas that are dairy-free and take less than 45 minutes.
31,"Quick, dairy-free dessert, 45-minute prep."
32,I need a dessert recipe that's free of dairy and can be made within 45 minutes.
33,What's a good dairy-free dessert I can whip up in 45 minutes?
36,I'm looking for an elaborate vegan brunch recipe; I have all the time in the world to cook.
37,Give me some vegan brunch ideas that take a long time to prepare.
38,Suggest a time-intensive vegan brunch recipe.
39,"I want to make a vegan brunch, and I have unlimited time for cooking."
40,"Vegan brunch, please, something that's quite involved and takes a while to make."
43,I need a low-carb appetizer that can be made in 15 minutes.
44,Give me a quick low-carb appetizer recipe under 15 minutes.
45,"Appetizer, low-carb, 15 minutes."
46,What are some fast low-carb appetizers that take about 15 minutes?
47,I'm looking for a 15-minute appetizer that's low in carbs.
50,I need a high-protein side dish that can be made in about 20 minutes.
51,"Give me a quick recipe for a high-protein side dish, ready in 20 minutes."
52,"High-protein side dish, 20 minutes."
53,"What are some fast, high-protein side dishes I can make in under 20 minutes?"
54,"20-minute side dish, high in protein."
57,"I'm looking for a quick, light breakfast that's kid-friendly and takes less than 20 minutes."
58,"Can you suggest a simple, healthy breakfast for kids that can be made in under 20 minutes?"
59,"Kid-friendly, lite breakfast, under 20 mins."
